DBN,School Name,Year,Total Enrollment,% Asian and Pacific Islander,% Black,% Hispanic,% Multi-Racial,% Native American,% White,% Missing Race/Ethnicity Data,Borough,kmeans_label,% Students with Disabilities,% English Language Learners,% Poverty,Economic Need Index
01M015,P.S. 015 Roberto Clemente,2024-25,159,0.0880503132939338,0.2138364762067794,0.6226415038108826,0.0377358496189117,0.0062893079593777,0.0314465425908565,0.0,M,1,0.2515723407268524,0.069182388484478,0.9119496941566467,0.9177358746528625
01M020,P.S. 020 Anna Silver,2024-25,321,0.1838006228208542,0.1526479721069336,0.5514018535614014,0.0280373822897672,0.0155763244256377,0.0685358271002769,0.0,M,1,0.180685356259346,0.2866043746471405,0.84112149477005,0.8472461104393005
01M034,P.S. 034 Franklin D. Roosevelt,2024-25,192,0.0104166669771075,0.4114583432674408,0.5364583134651184,0.0052083334885537,0.0052083334885537,0.03125,0.0,M,1,0.3072916567325592,0.171875,Above 95%,Above 95%
01M063,The STAR Academy - P.S.63,2024-25,196,0.0306122452020645,0.1581632643938064,0.6938775777816772,0.0102040814235806,0.0,0.1071428582072258,0.0,M,2,0.3571428656578064,0.13775509595870972,0.7908163070678711,0.7986564040184021
01M064,P.S. 064 Robert Simon,2024-25,149,0.0067114094272255,0.2348993271589279,0.6778523325920105,0.0201342273503541,0.0067114094272255,0.0469798669219017,0.0067114094272255,M,2,0.29530200362205505,0.07382550090551376,0.8523489832878113,0.8648456335067749
01M110,P.S. 110 Florence Nightingale,2024-25,226,0.1061946898698806,0.137168139219284,0.5752212405204773,0.0265486724674701,0.0044247787445783,0.1504424810409546,0.0,M,1,0.18584071099758148,0.022123893722891808,0.7079645991325378,0.7148318290710449
01M134,P.S. 134 Henrietta Szold,2024-25,162,0.0493827164173126,0.314814805984497,0.5864197611808777,0.0185185186564922,0.006172839552164,0.0185185186564922,0.006172839552164,M,1,0.37037035822868347,0.1913580298423767,Above 95%,Above 95%
01M140,P.S. 140 Nathan Straus,2024-25,364,0.0109890112653374,0.1291208863258361,0.8186812996864319,0.0,0.0027472528163343,0.0302197802811861,0.0082417586818337,M,2,0.27747252583503723,0.4148351550102234,Above 95%,Above 95%
01M142,P.S. 142 Amalia Castro,2024-25,365,0.0082191778346896,0.1589041054248809,0.7753424644470215,0.0164383556693792,0.0191780813038349,0.0219178088009357,0.0,M,2,0.2931506931781769,0.16712328791618347,0.9178082346916199,0.9338109493255615
01M184,P.S. 184m Shuang Wen,2024-25,767,0.6166883707046509,0.0260756202042102,0.1525423675775528,0.1003911346197128,0.0013037809403613,0.1016949117183685,0.0013037809403613,M,0,0.12255541235208511,0.07170795649290085,0.5619295835494995,0.5837822556495667
01M188,P.S. 188 The Island School,2024-25,344,0.0232558138668537,0.2470930218696594,0.6889534592628479,0.0087209306657314,0.0174418613314628,0.0145348841324448,0.0,M,2,0.31686046719551086,0.23546510934829712,Above 95%,Above 95%
01M292,Orchard Collegiate Academy,2024-25,258,0.1472868174314499,0.2170542627573013,0.5736433863639832,0.0038759689778089,0.0155038759112358,0.0426356606185436,0.0,M,1,0.3062015473842621,0.042635660618543625,0.8759689927101135,0.910759687423706
01M315,The East Village Community School,2024-25,484,0.0764462798833847,0.0826446264982223,0.3512396812438965,0.1053718999028205,0.0020661156158894,0.3822314143180847,0.0,M,4,0.27272728085517883,0.043388430029153824,0.4566115736961365,0.48480579257011414
01M332,University Neighborhood Middle School,2024-25,134,0.0223880596458911,0.2014925330877304,0.7089552283287048,0.0074626863934099,0.0074626863934099,0.0522388070821762,0.0,M,2,0.46268656849861145,0.14179104566574097,0.9328358173370361,0.9464253783226013
01M361,The Children's Workshop School,2024-25,274,0.0729926973581314,0.0875912383198738,0.3576642274856567,0.0948905125260353,0.0109489047899842,0.3759123980998993,0.0,M,4,0.24087591469287872,0.054744526743888855,0.510948896408081,0.5277518033981323
01M363,Neighborhood School,2024-25,213,0.0469483584165573,0.0985915511846542,0.3521126806735992,0.0704225376248359,0.0093896714970469,0.4225352108478546,0.0,M,4,0.2910798192024231,0.03755868598818779,0.44600939750671387,0.5242065787315369
01M364,Earth School,2024-25,176,0.0340909101068973,0.096590906381607,0.5056818127632141,0.1022727265954017,0.0,0.2613636255264282,0.0,M,1,0.3125,0.039772726595401764,0.6193181872367859,0.6332857012748718
01M378,School for Global Leaders,2024-25,152,0.078947365283966,0.1381578892469406,0.6381579041481018,0.0328947380185127,0.0263157896697521,0.0855263173580169,0.0,M,2,0.32236841320991516,0.20394736528396606,0.8684210777282715,0.8746644854545593
01M448,University Neighborhood High School,2024-25,476,0.3193277418613434,0.1365546286106109,0.4180672168731689,0.0105042019858956,0.0021008404437452,0.1134453788399696,0.0,M,0,0.1764705926179886,0.03781512752175331,0.7457982897758484,0.7158991694450378
01M450,East Side Community School,2024-25,697,0.0616929680109024,0.1750358641147613,0.5509325861930847,0.0329985655844211,0.0071736010722815,0.1621233820915222,0.010043041780591,M,1,0.331420361995697,0.012912482023239136,0.6872310042381287,0.6947891116142273
01M458,Forsyth Satellite Academy,2024-25,180,0.0277777779847383,0.3444444537162781,0.5944444537162781,0.0055555556900799,0.0,0.0277777779847383,0.0,M,1,0.3888888955116272,0.0833333358168602,0.8999999761581421,0.9251499772071838
01M515,Lower East Side Preparatory High School,2024-25,564,0.2854609787464142,0.1258865296840667,0.5585106611251831,0.003546099178493,0.003546099178493,0.0230496451258659,0.0,M,1,0.0939716324210167,0.6436170339584351,0.8918439745903015,Above 95%
01M539,"New Explorations into Science, Technology and Math",2024-25,1617,0.3834261000156402,0.0414347574114799,0.1014223843812942,0.1057513877749443,0.0018552875844761,0.3562152087688446,0.0098948674276471,M,4,0.13110698759555817,0.004947433713823557,0.25850340723991394,0.28206679224967957
01M650,Cascades High School,2024-25,148,0.0337837822735309,0.3986486494541168,0.5202702879905701,0.0067567569203674,0.0067567569203674,0.0337837822735309,0.0,M,1,0.3986486494541168,0.04729729890823364,0.9256756901741028,0.9211148619651794
01M696,Bard High School Early College,2024-25,570,0.2035087645053863,0.1561403572559356,0.2403508722782135,0.0473684221506118,0.0017543860012665,0.3385964930057525,0.0122807016596198,M,4,0.15964911878108978,0.008771929889917374,0.49824562668800354,0.4975719153881073
01M839,Tompkins Square Middle School,2024-25,293,0.0784982964396476,0.1467576771974563,0.5836177468299866,0.0238907858729362,0.0034129691775888,0.1638225317001342,0.0,M,1,0.3686006963253021,0.02389078587293625,0.7406143546104431,0.7576404213905334
02M001,P.S. 001 Alfred E. Smith,2024-25,213,0.2441314607858657,0.2159624397754669,0.4647887349128723,0.0281690135598182,0.0187793429940938,0.0281690135598182,0.0,M,1,0.19718310236930847,0.2582159638404846,0.9061033129692078,0.8859765529632568
02M002,P.S. 002 Meyer London,2024-25,339,0.38053098320961,0.1474926322698593,0.4188790619373321,0.0029498524963855,0.0029498524963855,0.0471976399421691,0.0,M,0,0.28023597598075867,0.33923304080963135,Above 95%,0.9104572534561157
02M003,P.S. 003 Charrette School,2024-25,565,0.0955752208828926,0.056637167930603,0.1787610650062561,0.0884955748915672,0.0035398229956626,0.5752212405204773,0.0017699114978313,M,4,0.23716814815998077,0.06194690242409706,0.23716814815998077,0.2654191851615906
02M006,P.S. 006 Lillie D. Blake,2024-25,656,0.1600609719753265,0.0106707317754626,0.1234756112098693,0.0838414654135704,0.0,0.6204268336296082,0.0015243901871144,M,4,0.18445122241973877,0.04878048598766327,0.11585365980863571,0.11834356188774109
02M011,P.S. 011: The Sarah J. Garnet Elementary School,2024-25,677,0.1757754832506179,0.0679468214511871,0.2688331007957458,0.0590841956436634,0.0059084193781018,0.4209748804569244,0.0014771048445254,M,4,0.14180207252502441,0.09305761009454727,0.35450518131256104,0.4126913845539093
02M033,P.S. 033 Chelsea Prep,2024-25,605,0.166942149400711,0.1553719043731689,0.4099173545837402,0.0710743814706802,0.0099173551425337,0.1867768615484237,0.0,M,1,0.15537190437316895,0.20826447010040283,0.5966942310333252,0.6122533082962036
02M040,P.S. 040 Augustus Saint-Gaudens,2024-25,538,0.1115241646766662,0.0353159867227077,0.1561338305473327,0.1338289976119995,0.0037174720782786,0.5576208233833313,0.0018587360391393,M,4,0.20631970465183258,0.026022305712103844,0.15799257159233093,0.22019517421722412
02M041,P.S. 041 Greenwich Village,2024-25,479,0.0709812119603157,0.0187891442328691,0.1169102266430854,0.1377870589494705,0.002087682718411,0.6534446477890015,0.0,M,4,0.1607515662908554,0.02922755666077137,0.07724425941705704,0.08401252329349518
02M042,P.S. 042 Benjamin Altman,2024-25,478,0.6631799340248108,0.0418410040438175,0.1569037586450576,0.0376569032669067,0.0041841003112494,0.096234306693077,0.0,M,0,0.27405858039855957,0.2196652740240097,0.6673640012741089,0.6496869921684265
02M047,47 The American Sign Language and English Secondar,2024-25,148,0.0472972989082336,0.1554054021835327,0.7229729890823364,0.0135135138407349,0.0067567569203674,0.0540540553629398,0.0,M,2,0.27702704071998596,0.0878378376364708,0.8918918967247009,0.8416621685028076
02M051,P.S. 051 Elias Howe,2024-25,444,0.078828826546669,0.1351351290941238,0.619369387626648,0.0202702693641185,0.0045045046135783,0.1418918967247009,0.0,M,2,0.21621622145175934,0.36036035418510437,0.7590090036392212,0.7561670541763306
02M059,P.S. 059 Beekman Hill International,2024-25,535,0.2355140149593353,0.0355140194296836,0.0822429880499839,0.0485981293022632,0.0056074764579534,0.590654194355011,0.0018691589357331,M,4,0.1327102780342102,0.052336446940898895,0.1271028071641922,0.13724008202552795
02M077,P.S. 77 Lower Lab School,2024-25,364,0.450549453496933,0.0082417586818337,0.0741758272051811,0.1263736337423324,0.0,0.3351648449897766,0.0054945056326687,M,0,0.07692307978868484,0.008241758681833744,0.09065934270620346,0.13011538982391357
02M089,P.S. 89,2024-25,340,0.1676470637321472,0.0205882359296083,0.1411764770746231,0.1647058874368667,0.0029411765281111,0.5029411911964417,0.0,M,4,0.19117647409439087,0.04117647185921669,0.0882352963089943,0.11604117602109909
02M104,J.H.S. 104 Simon Baruch,2024-25,1030,0.2563106715679168,0.0660194158554077,0.2213592231273651,0.0805825218558311,0.0067961164750158,0.3640776574611664,0.0048543689772486,M,4,0.14854368567466736,0.0796116515994072,0.3621359169483185,0.37574708461761475
02M111,P.S. 111 Adolph S. Ochs,2024-25,402,0.0895522385835647,0.1616915464401245,0.56965172290802,0.0323383100330829,0.0099502485245466,0.136815920472145,0.0,M,1,0.2238806039094925,0.26616916060447693,0.7736318111419678,0.7617089748382568
02M114,East Side Middle School,2024-25,425,0.2305882424116134,0.0305882357060909,0.169411763548851,0.0705882385373115,0.0047058821655809,0.4894117712974548,0.0047058821655809,M,4,0.23764705657958984,0.021176470443606377,0.24941176176071167,0.23500941693782806
02M116,P.S. 116 Mary Lindley Murray,2024-25,437,0.1441647559404373,0.1189931333065033,0.3684210479259491,0.0549199096858501,0.0137299774214625,0.2997711598873138,0.0,M,4,0.15789473056793213,0.2448512613773346,0.5537757277488708,0.5488646626472473
02M124,P.S. 124 Yung Wing,2024-25,456,0.8421052694320679,0.0087719298899173,0.0438596494495868,0.0723684206604957,0.0,0.0307017546147108,0.0021929824724793,M,0,0.2017543911933899,0.14692983031272888,0.5635964870452881,0.5299473404884338
02M126,P.S. 126 Jacob August Riis,2024-25,573,0.5130890011787415,0.1378708481788635,0.2129144817590713,0.0418848171830177,0.001745200715959,0.0924956351518631,0.0,M,0,0.22862128913402557,0.08376963436603546,0.7452006936073303,0.7275200486183167
02M130,P.S. 130 Hernando De Soto,2024-25,534,0.7677902579307556,0.0168539322912693,0.1104868948459625,0.0599250942468643,0.0018726591952145,0.0393258444964885,0.003745318390429,M,0,0.19475655257701874,0.2153557986021042,0.6198501586914062,0.5779304504394531
02M131,M.S. 131,2024-25,261,0.486590027809143,0.1264367848634719,0.3295019268989563,0.0191570874303579,0.0,0.0344827584922313,0.0038314175326377,M,0,0.3601532578468323,0.29501914978027344,0.9080459475517273,0.8803563117980957
02M135,The Urban Assembly Early College High School of Em,2024-25,360,0.025000000372529,0.3527777791023254,0.5694444179534912,0.0083333337679505,0.0,0.0333333350718021,0.0111111113801598,M,1,0.16944444179534912,0.10000000149011612,0.8861111402511597,0.8841916918754578
02M139,Stephen T. Mather Building Arts & Craftsmanship Hi,2024-25,339,0.041297934949398,0.2595870196819305,0.6578171253204346,0.0,0.0,0.041297934949398,0.0,M,1,0.28318583965301514,0.06194690242409706,0.8761062026023865,0.8937138915061951
02M150,P.S. 150,2024-25,288,0.3055555522441864,0.0451388880610466,0.1458333283662796,0.1041666641831398,0.0069444444961845,0.3888888955116272,0.0034722222480922,M,4,0.1284722238779068,0.0416666679084301,0.2326388955116272,0.19467248022556305
02M151,Yorkville Community School,2024-25,319,0.0877742916345596,0.0940438881516456,0.2382445186376571,0.0721003115177154,0.0062695923261344,0.4952978193759918,0.0062695923261344,M,4,0.23824451863765717,0.037617553025484085,0.2884012460708618,0.34540438652038574
02M158,P.S. 158 Bayard Taylor,2024-25,604,0.1357615888118744,0.0248344372957944,0.0927152335643768,0.0728476792573928,0.0,0.6721854209899902,0.0016556291375309,M,4,0.18377482891082764,0.04304635897278786,0.1423841118812561,0.15851986408233643
02M167,J.H.S. 167 Robert F. Wagner,2024-25,943,0.1728525906801223,0.0668080598115921,0.1823966056108474,0.0721102878451347,0.00530222710222,0.4994697868824005,0.001060445443727,M,4,0.18027570843696594,0.08059384673833847,0.299045592546463,0.31076088547706604
02M177,Yorkville East Middle School,2024-25,250,0.1199999973177909,0.0560000017285347,0.2240000069141388,0.0719999969005584,0.0,0.527999997138977,0.0,M,4,0.23999999463558197,0.03200000151991844,0.29600000381469727,0.3283959925174713
02M183,P.S. 183 Robert L. Stevenson,2024-25,541,0.2181145995855331,0.0184842888265848,0.1256931573152542,0.0609981529414653,0.0,0.5767098069190979,0.0,M,4,0.15896488726139069,0.09242144227027893,0.11645101755857468,0.1262495368719101
02M198,P.S. 198 Isidor E. Ida Straus,2024-25,515,0.1417475789785385,0.0757281556725502,0.3106796145439148,0.0349514558911323,0.0213592238724231,0.4135922193527221,0.0019417476141825,M,4,0.18446601927280426,0.12233009934425354,0.3961164951324463,0.4139029085636139
02M212,P.S. 212 Midtown West,2024-25,314,0.1146496832370758,0.0796178355813026,0.4585987329483032,0.0955414026975631,0.0031847134232521,0.2484076470136642,0.0,M,4,0.19426751136779785,0.2229299396276474,0.5159235596656799,0.5454904437065125
02M217,P.S./I.S. 217 Roosevelt Island,2024-25,688,0.3459302186965942,0.1104651167988777,0.171511635184288,0.049418605864048,0.0043604653328657,0.3168604671955108,0.0014534883666783,M,4,0.14244185388088226,0.18023255467414856,0.29651162028312683,0.3089432418346405
02M225,Ella Baker School,2024-25,335,0.1014925390481948,0.1462686508893966,0.3701492547988891,0.0567164197564125,0.0,0.3223880529403686,0.0029850746504962,M,4,0.27761194109916687,0.10149253904819489,0.5074626803398132,0.5177015066146851
02M234,P.S. 234 Independence School,2024-25,461,0.0976138859987258,0.0173535794019699,0.1084598675370216,0.1127982661128044,0.0021691974252462,0.6594359874725342,0.0021691974252462,M,4,0.20607374608516693,0.010845987126231194,0.056399133056402206,0.07055314630270004
02M255,M.S. 255 Salk School of Science,2024-25,378,0.275132268667221,0.0211640205234289,0.116402119398117,0.116402119398117,0.0026455025654286,0.4682539701461792,0.0,M,4,0.1984127014875412,0.007936508394777775,0.190476194024086,0.21111904084682465
02M260,The Clinton School,2024-25,849,0.1378091871738433,0.0365135446190834,0.138987049460411,0.0742049440741539,0.0035335689317435,0.5300353169441223,0.0789163708686828,M,4,0.21436984837055206,0.008244994096457958,0.22850412130355835,0.27743345499038696
02M267,"East Side Elementary School, PS 267",2024-25,350,0.1857142895460128,0.0314285717904567,0.1428571492433548,0.0599999986588954,0.0,0.5799999833106995,0.0,M,4,0.14571428298950195,0.07428571581840515,0.16285714507102966,0.1305714249610901
02M276,Battery Park City School,2024-25,792,0.2348484843969345,0.0416666679084301,0.2386363595724105,0.089646466076374,0.0,0.3952020108699798,0.0,M,4,0.1931818127632141,0.11994949728250504,0.2083333283662796,0.21785713732242584
02M280,Manhattan Early College School for Advertising,2024-25,389,0.0899742916226387,0.2750642597675323,0.5912596583366394,0.0102827763184905,0.0025706940796226,0.0257069412618875,0.0051413881592452,M,1,0.1670951098203659,0.11825192719697952,0.8406169414520264,0.8735964298248291
