DBN,School Name,Year,% Asian and Pacific Islander,% Black,% Hispanic,% Multi-Racial,% Native American,% White,% Missing Race/Ethnicity Data,Borough,kmeans_label
01M015,P.S. 015 Roberto Clemente,2024-25,0.08805031329393387,0.21383647620677948,0.6226415038108826,0.03773584961891174,0.006289307959377766,0.03144654259085655,0.0,M,1
01M020,P.S. 020 Anna Silver,2024-25,0.1838006228208542,0.1526479721069336,0.5514018535614014,0.028037382289767265,0.015576324425637722,0.06853582710027695,0.0,M,1
01M034,P.S. 034 Franklin D. Roosevelt,2024-25,0.010416666977107525,0.4114583432674408,0.5364583134651184,0.0052083334885537624,0.0052083334885537624,0.03125,0.0,M,1
01M063,The STAR Academy - P.S.63,2024-25,0.030612245202064514,0.15816326439380646,0.6938775777816772,0.010204081423580647,0.0,0.1071428582072258,0.0,M,2
01M064,P.S. 064 Robert Simon,2024-25,0.00671140942722559,0.23489932715892792,0.6778523325920105,0.020134227350354195,0.00671140942722559,0.0469798669219017,0.00671140942722559,M,2
01M110,P.S. 110 Florence Nightingale,2024-25,0.10619468986988068,0.13716813921928406,0.5752212405204773,0.02654867246747017,0.0044247787445783615,0.1504424810409546,0.0,M,1
01M134,P.S. 134 Henrietta Szold,2024-25,0.04938271641731262,0.31481480598449707,0.5864197611808777,0.018518518656492233,0.006172839552164078,0.018518518656492233,0.006172839552164078,M,1
01M140,P.S. 140 Nathan Straus,2024-25,0.010989011265337467,0.12912088632583618,0.8186812996864319,0.0,0.002747252816334367,0.030219780281186104,0.008241758681833744,M,2
01M142,P.S. 142 Amalia Castro,2024-25,0.008219177834689617,0.15890410542488098,0.7753424644470215,0.016438355669379234,0.019178081303834915,0.021917808800935745,0.0,M,2
01M184,P.S. 184m Shuang Wen,2024-25,0.6166883707046509,0.02607562020421028,0.1525423675775528,0.10039113461971283,0.001303780940361321,0.10169491171836853,0.001303780940361321,M,0
01M188,P.S. 188 The Island School,2024-25,0.023255813866853714,0.24709302186965942,0.6889534592628479,0.00872093066573143,0.01744186133146286,0.014534884132444859,0.0,M,2
01M292,Orchard Collegiate Academy,2024-25,0.1472868174314499,0.21705426275730133,0.5736433863639832,0.0038759689778089523,0.01550387591123581,0.042635660618543625,0.0,M,1
01M315,The East Village Community School,2024-25,0.0764462798833847,0.08264462649822235,0.3512396812438965,0.10537189990282059,0.00206611561588943,0.3822314143180847,0.0,M,4
01M332,University Neighborhood Middle School,2024-25,0.02238805964589119,0.2014925330877304,0.7089552283287048,0.007462686393409967,0.007462686393409967,0.05223880708217621,0.0,M,2
01M361,The Children's Workshop School,2024-25,0.07299269735813141,0.08759123831987381,0.35766422748565674,0.09489051252603531,0.010948904789984226,0.3759123980998993,0.0,M,4
01M363,Neighborhood School,2024-25,0.04694835841655731,0.09859155118465424,0.35211268067359924,0.07042253762483597,0.009389671497046947,0.4225352108478546,0.0,M,4
01M364,Earth School,2024-25,0.034090910106897354,0.09659090638160706,0.5056818127632141,0.10227272659540176,0.0,0.2613636255264282,0.0,M,1
01M378,School for Global Leaders,2024-25,0.07894736528396606,0.1381578892469406,0.6381579041481018,0.032894738018512726,0.02631578966975212,0.08552631735801697,0.0,M,2
01M448,University Neighborhood High School,2024-25,0.3193277418613434,0.13655462861061096,0.41806721687316895,0.010504201985895634,0.0021008404437452555,0.11344537883996964,0.0,M,0
01M450,East Side Community School,2024-25,0.061692968010902405,0.17503586411476135,0.5509325861930847,0.03299856558442116,0.007173601072281599,0.16212338209152222,0.010043041780591011,M,1
01M458,Forsyth Satellite Academy,2024-25,0.02777777798473835,0.3444444537162781,0.5944444537162781,0.0055555556900799274,0.0,0.02777777798473835,0.0,M,1
01M515,Lower East Side Preparatory High School,2024-25,0.2854609787464142,0.12588652968406677,0.5585106611251831,0.003546099178493023,0.003546099178493023,0.023049645125865936,0.0,M,1
01M539,"New Explorations into Science, Technology and Math",2024-25,0.38342610001564026,0.04143475741147995,0.10142238438129425,0.1057513877749443,0.001855287584476173,0.3562152087688446,0.009894867427647114,M,4
01M650,Cascades High School,2024-25,0.03378378227353096,0.3986486494541168,0.5202702879905701,0.006756756920367479,0.006756756920367479,0.03378378227353096,0.0,M,1
01M696,Bard High School Early College,2024-25,0.20350876450538635,0.15614035725593567,0.2403508722782135,0.04736842215061188,0.001754386001266539,0.33859649300575256,0.012280701659619808,M,4
01M839,Tompkins Square Middle School,2024-25,0.07849829643964767,0.14675767719745636,0.5836177468299866,0.02389078587293625,0.0034129691775888205,0.16382253170013428,0.0,M,1
02M001,P.S. 001 Alfred E. Smith,2024-25,0.24413146078586578,0.21596243977546692,0.4647887349128723,0.028169013559818268,0.018779342994093895,0.028169013559818268,0.0,M,1
02M002,P.S. 002 Meyer London,2024-25,0.38053098320961,0.14749263226985931,0.41887906193733215,0.0029498524963855743,0.0029498524963855743,0.04719763994216919,0.0,M,0
02M003,P.S. 003 Charrette School,2024-25,0.09557522088289261,0.05663716793060303,0.1787610650062561,0.08849557489156723,0.003539822995662689,0.5752212405204773,0.0017699114978313446,M,4
02M006,P.S. 006 Lillie D. Blake,2024-25,0.16006097197532654,0.010670731775462627,0.12347561120986938,0.0838414654135704,0.0,0.6204268336296082,0.0015243901871144772,M,4
02M011,P.S. 011: The Sarah J. Garnet Elementary School,2024-25,0.17577548325061798,0.06794682145118713,0.26883310079574585,0.059084195643663406,0.005908419378101826,0.42097488045692444,0.0014771048445254564,M,4
02M033,P.S. 033 Chelsea Prep,2024-25,0.16694214940071106,0.15537190437316895,0.40991735458374023,0.07107438147068024,0.00991735514253378,0.18677686154842377,0.0,M,1
02M040,P.S. 040 Augustus Saint-Gaudens,2024-25,0.11152416467666626,0.03531598672270775,0.15613383054733276,0.1338289976119995,0.0037174720782786608,0.5576208233833313,0.0018587360391393304,M,4
02M041,P.S. 041 Greenwich Village,2024-25,0.0709812119603157,0.018789144232869148,0.11691022664308548,0.13778705894947052,0.002087682718411088,0.6534446477890015,0.0,M,4
